2025-09-25 13:23:16 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:23:26 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:23:33 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:23:36 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:23:36 | DEBUG | TradingBot | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1758786816248, 'signature': 'f1025f1117e8a2e9e5caf3ae110b882eb137bac80d5a9a9f8e0ae0a2a6f9ce7b'}
2025-09-25 13:23:36 | DEBUG | TradingBot | RESPONSE 200: {"orderId":5679110663,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"XVSH5pbMAvR66eCF0TIieL","price":"0.00","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1758786816451}
2025-09-25 13:26:06 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:26:18 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:26:24 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:26:24 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:26:24 | DEBUG | TradingBot | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1758786984462, 'signature': '512c9e2feb1aafa80996e06605a39203a3208bb0d2bfbaf1bf5f65ec1f79db2b'}
2025-09-25 13:26:24 | DEBUG | TradingBot | RESPONSE 200: {"orderId":5679113739,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"Ruw8LhFDWZn4BvjNFzMN9p","price":"0.00","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1758786984665}
2025-09-25 13:27:31 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-25 13:27:31 | DEBUG | TradingBot | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP', 'quantity': 0.001, 'stopPrice': 11300.0, 'price': 112900.0, 'timeInForce': 'GTC', 'timestamp': 1758787051980, 'signature': '351ddc5f82f3017169e87733f9580c54c50c0f5c89c2b96ffd1cd35bb452ce9f'}
2025-09-25 13:27:32 | DEBUG | TradingBot | RESPONSE 200: {"orderId":5679115573,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"c7FQd1oMLS4rtvy0uL7NEg","price":"112900.00","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"STOP","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"11300.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1758787052210}
2025-09-25 13:27:32 | DEBUG | TradingBot | REQUEST GET https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'orderId': 5679115573, 'timestamp': 1758787052295, 'signature': 'c0ded9816f29224193109900deedea78d8fcd87ea1982c5cd7720afbb2d54343'}
2025-09-25 13:27:32 | DEBUG | TradingBot | RESPONSE 200: {"orderId":5679115573,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"c7FQd1oMLS4rtvy0uL7NEg","price":"112900.00","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"STOP","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"11300.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"time":1758787052210,"updateTime":1758787052210}
